ID,Source,x,y,R,G,B,size
82018,1796736625538995072,328.26575183722,25.9251314654,63,62,156,5.490092640612845
31154,418030923572427520,9.03480008335,54.16844144322,67,78,186,5.471425142053856
87253,1833224949722816768,301.72260596153,23.61442618026,63,59,151,5.4647622129262245
34800,1693272581363394304,183.04999208719,77.61633033521,59,160,253,5.447481747756575
94533,1985552905521456768,344.26882118736,48.68404419023,66,73,177,5.430102813524598
79682,1103352844667317632,103.42609455062,68.88834524989001,67,78,186,5.361626236423067
18456,448233374109147264,52.5004020532,55.45175365798001,70,105,224,5.358117087563633
28694,829776725129940480,160.88531071467,46.20357666384,56,165,251,5.356494871382388
79678,1102797861873269504,102.73787941728,67.57195536591,64,64,162,5.327260665842049
69,16370186245017600,52.60189379568,11.336366312510002,69,92,207,5.262309127684436
1934,164262059326729088,61.75143818478001,29.00134411388,55,168,250,5.2594777137168975
81060,1556189972738829184,199.56021486018005,49.68213630008,68,86,199,5.219209834799985
35036,1738927465244452736,320.72363034375,6.81118757934,71,113,233,5.2142666160109705
27870,653239928447149056,121.26854590933998,13.11793654777,70,100,218,5.2112236632083935
76397,2858826134543154304,7.530907981519999,29.75130590539,62,155,254,5.211154007363803
6049,217180007783721472,57.38607924826,33.09139852205,71,110,230,5.198297438222729
34407,1537396673318780544,180.52635602268,43.0459509863,64,153,255,5.144390893413666
25932,533842792557160576,25.73378565583,70.62246295889,69,94,211,5.085351136290531
9459,270175746685064704,88.74094972933001,59.8882903233,70,105,224,5.071282290291286
34614,1639947946747724160,236.66707720542004,62.599305925180005,70,107,227,5.04552956371114
8714,195012444618313856,80.45182535608001,41.80440450772,65,67,167,5.042581638960472
78114,592021045155272832,136.93662365798,10.66814608332,68,81,191,5.022368869968579
27679,610526719204475136,134.31257024512,15.32285724815,70,125,244,5.004416096358298
62981,2090364641714902144,282.47043249132,32.55100797182,71,120,240,4.993226077329761
90092,1932278646577186688,340.3693612705,40.22542709403,65,67,167,4.957551216210208
12472,48794509270782976,62.29202415441,19.60907611819,56,244,145,4.951768794060576
42617,132751808418537472,36.86558602343,31.80115559038,67,247,135,4.925833069152018
10090,277676649371573504,72.00156599761,56.75655195981,68,143,254,4.910144621730501
10821,325989155933856640,33.98445061574,33.35875245505999,70,100,218,4.897108959319376
66048,160242622770291328,72.30362062489999,31.436915178770004,70,248,132,4.8761368882537734
28651,813089746389964032,144.59065625353998,40.23983896439,69,140,253,4.875887204686677
78505,817013387993056640,138.45070383995,43.21768928870999,66,75,181,4.862534453698718
41421,440905919385318656,45.2177524638,52.35162301438,69,89,203,4.848612786789114
75664,2677228629435903104,331.19750939727004,-0.90653607586,69,140,253,4.841333510118676
10732,543215506409139328,52.58089003049,71.86390057085,251,184,56,4.840128335176008
